!MOLECULE
CH spin-rotation spectrum up to 1000 cm^-1 above ground without hyperfine structure; based on CDMS v3 (June 2015)                                                                     
!MOLECULAR WEIGHT
   13.0     
! NUMBER OF ENERGY LEVELS
   31
!Level	E(cm-1)	   weight	J e/f +/- Omega
  69   28   24  4.670220e+00   5900.2394166667  1118.950000  3 
  70   27   22  4.615610e+00   5910.5231319000  1116.680000  3 
  71   29   26  5.790990e-02   6659.1224172500  1435.710000  4 
  72   31   28  5.766780e-02   6684.6490675500  1439.760000  4 
  73   30   26  6.946500e+00   6706.6244386333  1437.980000  3 
  74   29   25  6.881800e+00   6713.7739382333  1435.710000  3 
  75   31   27  6.938060e+00   6731.8800458667  1439.760000  3 
  76   17   12  5.988200e-03   7508.5028717667  587.350000  3 
  77   18   11  6.091610e-03   7556.0679185333  589.090000  3 
  78   21   16  4.884430e-03   9191.7671325333  830.610000  3 
  79   22   15  4.990370e-03   9262.0145015667  833.020000  3 
  80   25   20  4.106340e-03  10855.5420305000  1113.490000  3 
  81   27   19  4.212000e-03  10952.7689773000  1116.680000  3 
  82   29   24  3.521780e-03  12500.3516816667  1435.710000  3 
  83   31   23  3.628270e-03  12628.7303813000  1439.760000  3 
! NUMBER OF COLLISION PARTNERS
1
! COLLISION PARTNER
1 H2-CH scaled from He-CH rates by Marinakis et al 2015, PCCP 17, 21583
! NUMBER OF COLLISIONAL TRANSITIONS
465
! NUMBER OF TEMPERATURES
30 
! TEMPERATURES
10	20	30 	40 	50 	60 	70 	80 	90	100	 110 120 130 140 150 160 170 180 190 200 210 220 230 240 250 260 270 280 290 300
! TRANSITION-NUMBER UPPER-STATE LOWER-STATE RATE (CM^3S^-1)
 1  31  30  6.31e-14 9.02e-14 1.14e-13 1.36e-13 1.60e-13 1.85e-13 2.11e-13 2.40e-13 2.71e-13 3.03e-13 3.38e-13 3.76e-13 4.15e-13 4.57e-13 5.02e-13 5.48e-13 5.97e-13 6.48e-13 7.01e-13 7.57e-13 8.14e-13 8.73e-13 9.34e-13 9.97e-13 1.06e-12 1.13e-12 1.19e-12 1.26e-12 1.33e-12 1.40e-12 
 2  31  29  1.10e-12 1.52e-12 1.84e-12 2.11e-12 2.37e-12 2.63e-12 2.87e-12 3.12e-12 3.37e-12 3.61e-12 3.86e-12 4.11e-12 4.36e-12 4.61e-12 4.86e-12 5.12e-12 5.37e-12 5.63e-12 5.89e-12 6.15e-12 6.40e-12 6.67e-12 6.93e-12 7.19e-12 7.45e-12 7.71e-12 7.97e-12 8.23e-12 8.49e-12 8.74e-12 
 3  31  28  3.66e-14 5.90e-14 8.31e-14 1.10e-13 1.42e-13 1.77e-13 2.17e-13 2.61e-13 3.09e-13 3.61e-13 4.17e-13 4.76e-13 5.38e-13 6.04e-13 6.72e-13 7.43e-13 8.16e-13 8.92e-13 9.70e-13 1.05e-12 1.13e-12 1.22e-12 1.30e-12 1.39e-12 1.48e-12 1.57e-12 1.66e-12 1.75e-12 1.84e-12 1.93e-12 
 4  31  27  4.74e-13 7.85e-13 1.12e-12 1.49e-12 1.91e-12 2.36e-12 2.86e-12 3.38e-12 3.93e-12 4.50e-12 5.09e-12 5.70e-12 6.32e-12 6.94e-12 7.58e-12 8.22e-12 8.86e-12 9.50e-12 1.01e-11 1.08e-11 1.14e-11 1.21e-11 1.27e-11 1.33e-11 1.40e-11 1.46e-11 1.52e-11 1.58e-11 1.64e-11 1.70e-11 
 5  31  26  1.27e-12 1.77e-12 2.15e-12 2.48e-12 2.79e-12 3.09e-12 3.39e-12 3.68e-12 3.98e-12 4.27e-12 4.56e-12 4.84e-12 5.13e-12 5.41e-12 5.69e-12 5.96e-12 6.23e-12 6.49e-12 6.76e-12 7.01e-12 7.26e-12 7.51e-12 7.75e-12 7.99e-12 8.22e-12 8.45e-12 8.67e-12 8.88e-12 9.09e-12 9.30e-12 
 6  31  25  5.49e-12 8.11e-12 1.04e-11 1.27e-11 1.49e-11 1.71e-11 1.94e-11 2.16e-11 2.39e-11 2.61e-11 2.83e-11 3.04e-11 3.26e-11 3.46e-11 3.67e-11 3.87e-11 4.06e-11 4.25e-11 4.43e-11 4.61e-11 4.79e-11 4.96e-11 5.13e-11 5.29e-11 5.45e-11 5.60e-11 5.75e-11 5.89e-11 6.04e-11 6.17e-11 
 7  31  24  1.07e-14 1.75e-14 2.56e-14 3.57e-14 4.82e-14 6.34e-14 8.14e-14 1.02e-13 1.26e-13 1.53e-13 1.84e-13 2.17e-13 2.53e-13 2.92e-13 3.33e-13 3.78e-13 4.25e-13 4.74e-13 5.26e-13 5.81e-13 6.38e-13 6.96e-13 7.57e-13 8.20e-13 8.84e-13 9.51e-13 1.02e-12 1.09e-12 1.16e-12 1.23e-12 
 8  31  23  2.52e-14 4.10e-14 5.82e-14 7.79e-14 1.00e-13 1.26e-13 1.54e-13 1.86e-13 2.20e-13 2.56e-13 2.95e-13 3.35e-13 3.78e-13 4.22e-13 4.69e-13 5.16e-13 5.65e-13 6.15e-13 6.67e-13 7.19e-13 7.72e-13 8.26e-13 8.81e-13 9.36e-13 9.92e-13 1.05e-12 1.10e-12 1.16e-12 1.22e-12 1.27e-12 
 9  31  22  7.17e-14 1.20e-13 1.77e-13 2.45e-13 3.26e-13 4.20e-13 5.27e-13 6.47e-13 7.80e-13 9.23e-13 1.08e-12 1.24e-12 1.41e-12 1.60e-12 1.78e-12 1.98e-12 2.18e-12 2.39e-12 2.60e-12 2.82e-12 3.04e-12 3.27e-12 3.50e-12 3.73e-12 3.97e-12 4.20e-12 4.44e-12 4.69e-12 4.93e-12 5.18e-12 
10  31  21  1.15e-13 1.87e-13 2.65e-13 3.54e-13 4.55e-13 5.68e-13 6.94e-13 8.30e-13 9.75e-13 1.13e-12 1.29e-12 1.46e-12 1.63e-12 1.81e-12 2.00e-12 2.18e-12 2.37e-12 2.56e-12 2.76e-12 2.95e-12 3.15e-12 3.34e-12 3.54e-12 3.74e-12 3.94e-12 4.13e-12 4.33e-12 4.53e-12 4.72e-12 4.91e-12 
11  31  20  1.74e-15 2.88e-15 4.30e-15 6.13e-15 8.46e-15 1.14e-14 1.50e-14 1.93e-14 2.43e-14 3.02e-14 3.69e-14 4.45e-14 5.31e-14 6.25e-14 7.30e-14 8.43e-14 9.67e-14 1.10e-13 1.25e-13 1.40e-13 1.56e-13 1.74e-13 1.92e-13 2.11e-13 2.32e-13 2.53e-13 2.75e-13 2.98e-13 3.22e-13 3.46e-13 
12  31  19  1.44e-15 2.39e-15 3.68e-15 5.46e-15 7.84e-15 1.09e-14 1.48e-14 1.96e-14 2.54e-14 3.22e-14 4.01e-14 4.92e-14 5.96e-14 7.13e-14 8.43e-14 9.86e-14 1.14e-13 1.32e-13 1.50e-13 1.70e-13 1.92e-13 2.14e-13 2.39e-13 2.64e-13 2.91e-13 3.19e-13 3.48e-13 3.78e-13 4.09e-13 4.41e-13 
13  31  18  1.15e-14 1.96e-14 3.00e-14 4.33e-14 6.01e-14 8.06e-14 1.05e-13 1.33e-13 1.65e-13 2.00e-13 2.39e-13 2.81e-13 3.26e-13 3.75e-13 4.26e-13 4.79e-13 5.35e-13 5.93e-13 6.53e-13 7.15e-13 7.79e-13 8.44e-13 9.11e-13 9.79e-13 1.05e-12 1.12e-12 1.19e-12 1.26e-12 1.33e-12 1.41e-12 
14  31  17  8.95e-15 1.51e-14 2.34e-14 3.48e-14 4.99e-14 6.93e-14 9.35e-14 1.23e-13 1.58e-13 1.99e-13 2.45e-13 2.98e-13 3.57e-13 4.22e-13 4.94e-13 5.71e-13 6.54e-13 7.43e-13 8.37e-13 9.37e-13 1.04e-12 1.15e-12 1.26e-12 1.38e-12 1.50e-12 1.63e-12 1.76e-12 1.89e-12 2.02e-12 2.16e-12 
15  31  16  6.37e-16 1.04e-15 1.58e-15 2.31e-15 3.30e-15 4.60e-15 6.27e-15 8.37e-15 1.10e-14 1.41e-14 1.79e-14 2.24e-14 2.77e-14 3.37e-14 4.07e-14 4.85e-14 5.72e-14 6.69e-14 7.77e-14 8.94e-14 1.02e-13 1.16e-13 1.31e-13 1.46e-13 1.63e-13 1.81e-13 1.99e-13 2.19e-13 2.39e-13 2.60e-13 
16  31  15  6.37e-16 1.06e-15 1.66e-15 2.50e-15 3.65e-15 5.15e-15 7.06e-15 9.41e-15 1.22e-14 1.56e-14 1.95e-14 2.40e-14 2.92e-14 3.50e-14 4.14e-14 4.86e-14 5.64e-14 6.50e-14 7.43e-14 8.43e-14 9.50e-14 1.06e-13 1.18e-13 1.31e-13 1.45e-13 1.59e-13 1.73e-13 1.88e-13 2.04e-13 2.20e-13 
17  31  14  3.21e-15 5.44e-15 8.37e-15 1.23e-14 1.74e-14 2.39e-14 3.19e-14 4.14e-14 5.26e-14 6.55e-14 8.02e-14 9.66e-14 1.15e-13 1.35e-13 1.57e-13 1.80e-13 2.06e-13 2.33e-13 2.62e-13 2.92e-13 3.24e-13 3.58e-13 3.93e-13 4.30e-13 4.68e-13 5.07e-13 5.48e-13 5.90e-13 6.33e-13 6.77e-13 
18  31  13  1.02e-15 1.73e-15 2.71e-15 4.08e-15 5.92e-15 8.30e-15 1.13e-14 1.49e-14 1.93e-14 2.45e-14 3.05e-14 3.73e-14 4.51e-14 5.38e-14 6.35e-14 7.41e-14 8.58e-14 9.84e-14 1.12e-13 1.27e-13 1.42e-13 1.59e-13 1.76e-13 1.94e-13 2.14e-13 2.33e-13 2.54e-13 2.75e-13 2.97e-13 3.20e-13 
19  31  12  2.76e-16 4.48e-16 6.88e-16 1.03e-15 1.50e-15 2.12e-15 2.93e-15 3.97e-15 5.25e-15 6.83e-15 8.74e-15 1.10e-14 1.37e-14 1.67e-14 2.02e-14 2.42e-14 2.87e-14 3.37e-14 3.92e-14 4.52e-14 5.18e-14 5.89e-14 6.65e-14 7.47e-14 8.33e-14 9.25e-14 1.02e-13 1.12e-13 1.23e-13 1.34e-13 
