!MOLECULE
CH spin-rotation spectrum up to 1000 cm^-1 above ground without hyperfine structure; based on CDMS v3 (June 2015)                                                                     
!MOLECULAR WEIGHT
   13.0     
! NUMBER OF ENERGY LEVELS
   31
!Level	E(cm-1)	   weight	J e/f +/- Omega
45  30  15  2.60e-14 4.30e-14 6.18e-14 8.33e-14 1.08e-13 1.36e-13 1.67e-13 2.00e-13 2.36e-13 2.75e-13 3.15e-13 3.58e-13 4.03e-13 4.49e-13 4.98e-13 5.49e-13 6.01e-13 6.56e-13 7.12e-13 7.71e-13 8.31e-13 8.94e-13 9.58e-13 1.02e-12 1.09e-12 1.16e-12 1.23e-12 1.31e-12 1.38e-12 1.46e-12 
46  30  14  1.25e-14 2.08e-14 3.04e-14 4.19e-14 5.57e-14 7.19e-14 9.03e-14 1.11e-13 1.34e-13 1.58e-13 1.84e-13 2.12e-13 2.41e-13 2.71e-13 3.01e-13 3.33e-13 3.66e-13 3.99e-13 4.32e-13 4.66e-13 5.00e-13 5.35e-13 5.70e-13 6.05e-13 6.40e-13 6.75e-13 7.10e-13 7.46e-13 7.81e-13 8.16e-13 
47  30  13  1.85e-14 3.05e-14 4.47e-14 6.21e-14 8.32e-14 1.08e-13 1.37e-13 1.70e-13 2.07e-13 2.47e-13 2.91e-13 3.38e-13 3.87e-13 4.39e-13 4.93e-13 5.49e-13 6.07e-13 6.66e-13 7.27e-13 7.89e-13 8.53e-13 9.17e-13 9.82e-13 1.05e-12 1.11e-12 1.18e-12 1.25e-12 1.31e-12 1.38e-12 1.45e-12 
48  30  12  1.52e-14 2.53e-14 3.67e-14 5.01e-14 6.59e-14 8.41e-14 1.05e-13 1.27e-13 1.52e-13 1.79e-13 2.07e-13 2.37e-13 2.68e-13 3.01e-13 3.34e-13 3.69e-13 4.05e-13 4.42e-13 4.81e-13 5.20e-13 5.60e-13 6.01e-13 6.44e-13 6.87e-13 7.31e-13 7.76e-13 8.21e-13 8.68e-13 9.15e-13 9.63e-13 
49  30  11  3.16e-14 5.23e-14 7.58e-14 1.04e-13 1.36e-13 1.74e-13 2.16e-13 2.63e-13 3.13e-13 3.68e-13 4.25e-13 4.85e-13 5.48e-13 6.12e-13 6.78e-13 7.45e-13 8.14e-13 8.83e-13 9.53e-13 1.02e-12 1.09e-12 1.16e-12 1.23e-12 1.30e-12 1.37e-12 1.44e-12 1.51e-12 1.58e-12 1.65e-12 1.72e-12 
50  30  10  9.47e-15 1.57e-14 2.31e-14 3.19e-14 4.26e-14 5.50e-14 6.92e-14 8.50e-14 1.02e-13 1.21e-13 1.41e-13 1.62e-13 1.84e-13 2.07e-13 2.31e-13 2.55e-13 2.79e-13 3.04e-13 3.30e-13 3.56e-13 3.82e-13 4.08e-13 4.35e-13 4.62e-13 4.89e-13 5.16e-13 5.43e-13 5.71e-13 5.98e-13 6.26e-13 
51  30   9  5.86e-15 9.73e-15 1.44e-14 2.03e-14 2.76e-14 3.65e-14 4.68e-14 5.86e-14 7.20e-14 8.67e-14 1.03e-13 1.20e-13 1.38e-13 1.58e-13 1.78e-13 1.99e-13 2.22e-13 2.44e-13 2.68e-13 2.92e-13 3.17e-13 3.43e-13 3.69e-13 3.96e-13 4.23e-13 4.50e-13 4.79e-13 5.07e-13 5.36e-13 5.65e-13 
52  30   8  1.34e-14 2.21e-14 3.21e-14 4.42e-14 5.84e-14 7.51e-14 9.40e-14 1.15e-13 1.38e-13 1.63e-13 1.90e-13 2.18e-13 2.48e-13 2.78e-13 3.10e-13 3.42e-13 3.75e-13 4.09e-13 4.43e-13 4.77e-13 5.12e-13 5.46e-13 5.81e-13 6.16e-13 6.51e-13 6.86e-13 7.20e-13 7.55e-13 7.89e-13 8.23e-13 
53  30   7  6.02e-15 9.94e-15 1.43e-14 1.93e-14 2.52e-14 3.17e-14 3.90e-14 4.70e-14 5.56e-14 6.48e-14 7.46e-14 8.48e-14 9.56e-14 1.07e-13 1.19e-13 1.31e-13 1.45e-13 1.58e-13 1.73e-13 1.88e-13 2.04e-13 2.21e-13 2.38e-13 2.56e-13 2.75e-13 2.95e-13 3.16e-13 3.37e-13 3.59e-13 3.82e-13 
54  30   6  5.46e-15 9.04e-15 1.32e-14 1.82e-14 2.42e-14 3.12e-14 3.92e-14 4.82e-14 5.81e-14 6.88e-14 8.03e-14 9.24e-14 1.05e-13 1.18e-13 1.32e-13 1.46e-13 1.61e-13 1.75e-13 1.90e-13 2.05e-13 2.21e-13 2.36e-13 2.51e-13 2.67e-13 2.82e-13 2.98e-13 3.14e-13 3.29e-13 3.45e-13 3.60e-13 
55  30   5  5.10e-15 8.49e-15 1.25e-14 1.74e-14 2.34e-14 3.05e-14 3.87e-14 4.80e-14 5.83e-14 6.94e-14 8.15e-14 9.43e-14 1.08e-13 1.22e-13 1.37e-13 1.52e-13 1.67e-13 1.84e-13 2.00e-13 2.17e-13 2.34e-13 2.52e-13 2.70e-13 2.88e-13 3.07e-13 3.25e-13 3.44e-13 3.63e-13 3.83e-13 4.02e-13 
56  30   4  3.83e-15 6.39e-15 9.35e-15 1.29e-14 1.71e-14 2.21e-14 2.77e-14 3.40e-14 4.08e-14 4.82e-14 5.61e-14 6.45e-14 7.32e-14 8.24e-14 9.20e-14 1.02e-13 1.12e-13 1.23e-13 1.34e-13 1.46e-13 1.58e-13 1.70e-13 1.83e-13 1.96e-13 2.10e-13 2.24e-13 2.38e-13 2.53e-13 2.68e-13 2.83e-13 
57  30   3  8.40e-15 1.39e-14 2.02e-14 2.77e-14 3.66e-14 4.70e-14 5.89e-14 7.20e-14 8.65e-14 1.02e-13 1.19e-13 1.36e-13 1.54e-13 1.73e-13 1.93e-13 2.13e-13 2.33e-13 2.54e-13 2.75e-13 2.96e-13 3.17e-13 3.39e-13 3.60e-13 3.82e-13 4.03e-13 4.24e-13 4.45e-13 4.66e-13 4.87e-13 5.08e-13 
58  30   2  1.74e-15 2.91e-15 4.25e-15 5.87e-15 7.79e-15 1.00e-14 1.25e-14 1.54e-14 1.84e-14 2.17e-14 2.53e-14 2.90e-14 3.29e-14 3.70e-14 4.12e-14 4.56e-14 5.02e-14 5.49e-14 5.98e-14 6.49e-14 7.02e-14 7.56e-14 8.12e-14 8.70e-14 9.30e-14 9.91e-14 1.05e-13 1.12e-13 1.19e-13 1.25e-13 
59  30   1  2.69e-15 4.45e-15 6.48e-15 8.94e-15 1.19e-14 1.53e-14 1.93e-14 2.38e-14 2.87e-14 3.40e-14 3.98e-14 4.59e-14 5.23e-14 5.90e-14 6.59e-14 7.31e-14 8.05e-14 8.80e-14 9.57e-14 1.03e-13 1.11e-13 1.19e-13 1.27e-13 1.36e-13 1.44e-13 1.52e-13 1.60e-13 1.68e-13 1.77e-13 1.85e-13 
60  29  28  7.21e-14 1.20e-13 1.72e-13 2.30e-13 2.94e-13 3.65e-13 4.41e-13 5.22e-13 6.07e-13 6.95e-13 7.86e-13 8.80e-13 9.75e-13 1.07e-12 1.17e-12 1.27e-12 1.37e-12 1.47e-12 1.56e-12 1.66e-12 1.76e-12 1.86e-12 1.96e-12 2.05e-12 2.15e-12 2.25e-12 2.34e-12 2.44e-12 2.53e-12 2.63e-12 
61  29  27  1.92e-12 3.02e-12 4.09e-12 5.18e-12 6.30e-12 7.45e-12 8.62e-12 9.81e-12 1.10e-11 1.22e-11 1.34e-11 1.46e-11 1.58e-11 1.69e-11 1.81e-11 1.92e-11 2.03e-11 2.14e-11 2.24e-11 2.35e-11 2.45e-11 2.55e-11 2.65e-11 2.75e-11 2.84e-11 2.93e-11 3.02e-11 3.11e-11 3.20e-11 3.28e-11 
62  29  26  6.14e-14 9.97e-14 1.41e-13 1.87e-13 2.40e-13 3.00e-13 3.68e-13 4.43e-13 5.26e-13 6.17e-13 7.15e-13 8.21e-13 9.33e-13 1.05e-12 1.18e-12 1.31e-12 1.45e-12 1.59e-12 1.73e-12 1.88e-12 2.03e-12 2.19e-12 2.35e-12 2.51e-12 2.67e-12 2.83e-12 2.99e-12 3.16e-12 3.32e-12 3.48e-12 
63  29  25  1.33e-12 2.10e-12 2.85e-12 3.62e-12 4.41e-12 5.23e-12 6.06e-12 6.89e-12 7.73e-12 8.56e-12 9.39e-12 1.02e-11 1.10e-11 1.18e-11 1.25e-11 1.32e-11 1.40e-11 1.46e-11 1.53e-11 1.60e-11 1.66e-11 1.72e-11 1.78e-11 1.84e-11 1.89e-11 1.95e-11 2.00e-11 2.05e-11 2.10e-11 2.14e-11 
64  29  24  3.18e-14 5.27e-14 7.61e-14 1.03e-13 1.34e-13 1.70e-13 2.09e-13 2.51e-13 2.97e-13 3.46e-13 3.97e-13 4.51e-13 5.06e-13 5.63e-13 6.21e-13 6.80e-13 7.41e-13 8.02e-13 8.65e-13 9.28e-13 9.91e-13 1.06e-12 1.12e-12 1.19e-12 1.25e-12 1.32e-12 1.38e-12 1.45e-12 1.52e-12 1.58e-12 
65  29  23  5.39e-14 8.98e-14 1.32e-13 1.84e-13 2.47e-13 3.22e-13 4.09e-13 5.08e-13 6.20e-13 7.43e-13 8.78e-13 1.02e-12 1.18e-12 1.34e-12 1.52e-12 1.70e-12 1.89e-12 2.08e-12 2.28e-12 2.48e-12 2.69e-12 2.90e-12 3.11e-12 3.32e-12 3.53e-12 3.75e-12 3.96e-12 4.18e-12 4.39e-12 4.61e-12 
66  29  22  1.64e-13 2.70e-13 3.82e-13 5.06e-13 6.44e-13 7.95e-13 9.57e-13 1.13e-12 1.31e-12 1.49e-12 1.69e-12 1.88e-12 2.08e-12 2.28e-12 2.48e-12 2.68e-12 2.88e-12 3.07e-12 3.27e-12 3.47e-12 3.66e-12 3.85e-12 4.04e-12 4.23e-12 4.41e-12 4.59e-12 4.77e-12 4.95e-12 5.12e-12 5.30e-12 
67  29  21  3.04e-13 4.97e-13 6.99e-13 9.19e-13 1.16e-12 1.42e-12 1.69e-12 1.98e-12 2.29e-12 2.60e-12 2.93e-12 3.26e-12 3.60e-12 3.94e-12 4.29e-12 4.64e-12 4.99e-12 5.35e-12 5.71e-12 6.07e-12 6.43e-12 6.79e-12 7.16e-12 7.53e-12 7.89e-12 8.26e-12 8.63e-12 8.99e-12 9.36e-12 9.72e-12 
68  29  20  2.95e-14 4.92e-14 7.19e-14 9.87e-14 1.30e-13 1.67e-13 2.07e-13 2.53e-13 3.02e-13 3.54e-13 4.10e-13 4.68e-13 5.28e-13 5.90e-13 6.54e-13 7.19e-13 7.85e-13 8.51e-13 9.19e-13 9.86e-13 1.05e-12 1.12e-12 1.19e-12 1.26e-12 1.33e-12 1.40e-12 1.46e-12 1.53e-12 1.60e-12 1.66e-12 
69  29  19  2.74e-14 4.54e-14 6.65e-14 9.25e-14 1.24e-13 1.62e-13 2.05e-13 2.54e-13 3.08e-13 3.68e-13 4.33e-13 5.01e-13 5.74e-13 6.50e-13 7.30e-13 8.13e-13 8.98e-13 9.86e-13 1.08e-12 1.17e-12 1.26e-12 1.36e-12 1.46e-12 1.55e-12 1.65e-12 1.75e-12 1.86e-12 1.96e-12 2.06e-12 2.17e-12 
70  29  18  8.46e-14 1.40e-13 2.00e-13 2.69e-13 3.47e-13 4.34e-13 5.29e-13 6.33e-13 7.43e-13 8.59e-13 9.80e-13 1.11e-12 1.23e-12 1.37e-12 1.50e-12 1.64e-12 1.78e-12 1.92e-12 2.06e-12 2.20e-12 2.35e-12 2.49e-12 2.64e-12 2.79e-12 2.93e-12 3.08e-12 3.23e-12 3.38e-12 3.53e-12 3.67e-12 
71  29  17  1.28e-13 2.11e-13 3.02e-13 4.05e-13 5.22e-13 6.52e-13 7.94e-13 9.47e-13 1.11e-12 1.28e-12 1.46e-12 1.64e-12 1.82e-12 2.01e-12 2.20e-12 2.39e-12 2.59e-12 2.78e-12 2.97e-12 3.16e-12 3.35e-12 3.54e-12 3.73e-12 3.91e-12 4.10e-12 4.28e-12 4.45e-12 4.63e-12 4.80e-12 4.97e-12 
72  29  16  1.79e-14 2.97e-14 4.33e-14 5.97e-14 7.91e-14 1.02e-13 1.27e-13 1.56e-13 1.87e-13 2.21e-13 2.56e-13 2.94e-13 3.33e-13 3.74e-13 4.16e-13 4.58e-13 5.02e-13 5.46e-13 5.91e-13 6.36e-13 6.81e-13 7.27e-13 7.73e-13 8.18e-13 8.64e-13 9.10e-13 9.56e-13 1.00e-12 1.05e-12 1.09e-12 
73  29  15  2.42e-14 4.00e-14 5.87e-14 8.18e-14 1.10e-13 1.43e-13 1.82e-13 2.25e-13 2.74e-13 3.28e-13 3.86e-13 4.49e-13 5.15e-13 5.85e-13 6.58e-13 7.33e-13 8.11e-13 8.92e-13 9.74e-13 1.06e-12 1.14e-12 1.23e-12 1.32e-12 1.41e-12 1.50e-12 1.59e-12 1.68e-12 1.77e-12 1.86e-12 1.95e-12 
74  29  14  4.15e-14 6.88e-14 9.95e-14 1.35e-13 1.77e-13 2.25e-13 2.78e-13 3.36e-13 3.99e-13 4.66e-13 5.36e-13 6.09e-13 6.85e-13 7.63e-13 8.43e-13 9.24e-13 1.01e-12 1.09e-12 1.17e-12 1.25e-12 1.34e-12 1.42e-12 1.50e-12 1.58e-12 1.66e-12 1.74e-12 1.82e-12 1.90e-12 1.98e-12 2.05e-12 
75  29  13  1.96e-14 3.25e-14 4.67e-14 6.29e-14 8.13e-14 1.02e-13 1.25e-13 1.49e-13 1.76e-13 2.04e-13 2.34e-13 2.66e-13 2.99e-13 3.33e-13 3.69e-13 4.07e-13 4.47e-13 4.88e-13 5.31e-13 5.76e-13 6.22e-13 6.71e-13 7.21e-13 7.73e-13 8.27e-13 8.83e-13 9.40e-13 9.99e-13 1.06e-12 1.12e-12 
76  29  12  1.24e-14 2.07e-14 3.03e-14 4.19e-14 5.56e-14 7.14e-14 8.95e-14 1.10e-13 1.31e-13 1.55e-13 1.80e-13 2.06e-13 2.34e-13 2.62e-13 2.91e-13 3.21e-13 3.52e-13 3.83e-13 4.15e-13 4.47e-13 4.79e-13 5.12e-13 5.45e-13 5.79e-13 6.13e-13 6.47e-13 6.81e-13 7.15e-13 7.50e-13 7.85e-13 
77  29  11  8.85e-15 1.47e-14 2.18e-14 3.06e-14 4.14e-14 5.45e-14 6.97e-14 8.72e-14 1.07e-13 1.28e-13 1.52e-13 1.77e-13 2.04e-13 2.32e-13 2.62e-13 2.93e-13 3.25e-13 3.58e-13 3.92e-13 4.28e-13 4.64e-13 5.01e-13 5.39e-13 5.77e-13 6.17e-13 6.57e-13 6.97e-13 7.38e-13 7.80e-13 8.23e-13 
78  29  10  1.18e-14 1.97e-14 2.85e-14 3.87e-14 5.06e-14 6.42e-14 7.94e-14 9.61e-14 1.14e-13 1.34e-13 1.54e-13 1.76e-13 1.98e-13 2.22e-13 2.46e-13 2.72e-13 2.98e-13 3.25e-13 3.53e-13 3.82e-13 4.12e-13 4.43e-13 4.74e-13 5.07e-13 5.40e-13 5.74e-13 6.08e-13 6.44e-13 6.80e-13 7.17e-13 
79  29   9  2.61e-14 4.33e-14 6.28e-14 8.59e-14 1.13e-13 1.44e-13 1.79e-13 2.17e-13 2.59e-13 3.04e-13 3.51e-13 4.01e-13 4.52e-13 5.06e-13 5.60e-13 6.16e-13 6.73e-13 7.30e-13 7.88e-13 8.46e-13 9.04e-13 9.63e-13 1.02e-12 1.08e-12 1.14e-12 1.19e-12 1.25e-12 1.31e-12 1.36e-12 1.42e-12 
80  29   8  9.66e-15 1.60e-14 2.34e-14 3.23e-14 4.29e-14 5.52e-14 6.93e-14 8.51e-14 1.02e-13 1.21e-13 1.41e-13 1.62e-13 1.84e-13 2.07e-13 2.31e-13 2.55e-13 2.80e-13 3.06e-13 3.31e-13 3.57e-13 3.83e-13 4.09e-13 4.36e-13 4.62e-13 4.88e-13 5.15e-13 5.41e-13 5.67e-13 5.93e-13 6.18e-13 
81  29   7  8.14e-15 1.36e-14 2.00e-14 2.78e-14 3.74e-14 4.87e-14 6.18e-14 7.66e-14 9.30e-14 1.11e-13 1.30e-13 1.51e-13 1.73e-13 1.95e-13 2.19e-13 2.44e-13 2.69e-13 2.96e-13 3.22e-13 3.50e-13 3.78e-13 4.07e-13 4.36e-13 4.66e-13 4.96e-13 5.26e-13 5.57e-13 5.88e-13 6.20e-13 6.52e-13 
82  29   6  1.08e-14 1.78e-14 2.60e-14 3.57e-14 4.71e-14 6.05e-14 7.56e-14 9.24e-14 1.11e-13 1.31e-13 1.52e-13 1.74e-13 1.98e-13 2.22e-13 2.47e-13 2.72e-13 2.98e-13 3.25e-13 3.51e-13 3.78e-13 4.05e-13 4.32e-13 4.60e-13 4.87e-13 5.14e-13 5.40e-13 5.67e-13 5.94e-13 6.20e-13 6.46e-13 
83  29   5  3.63e-15 6.00e-15 8.59e-15 1.16e-14 1.49e-14 1.87e-14 2.28e-14 2.73e-14 3.22e-14 3.73e-14 4.27e-14 4.85e-14 5.45e-14 6.09e-14 6.77e-14 7.49e-14 8.25e-14 9.06e-14 9.91e-14 1.08e-13 1.18e-13 1.28e-13 1.39e-13 1.50e-13 1.62e-13 1.75e-13 1.88e-13 2.02e-13 2.16e-13 2.31e-13 
84  29   4  3.68e-15 6.16e-15 9.02e-15 1.25e-14 1.65e-14 2.12e-14 2.66e-14 3.25e-14 3.90e-14 4.60e-14 5.34e-14 6.12e-14 6.93e-14 7.78e-14 8.67e-14 9.58e-14 1.05e-13 1.15e-13 1.25e-13 1.36e-13 1.46e-13 1.57e-13 1.69e-13 1.80e-13 1.92e-13 2.05e-13 2.17e-13 2.30e-13 2.43e-13 2.57e-13 
85  29   3  5.65e-15 9.36e-15 1.37e-14 1.89e-14 2.51e-14 3.24e-14 4.08e-14 5.02e-14 6.06e-14 7.19e-14 8.40e-14 9.69e-14 1.10e-13 1.25e-13 1.39e-13 1.55e-13 1.70e-13 1.86e-13 2.02e-13 2.19e-13 2.35e-13 2.52e-13 2.69e-13 2.86e-13 3.03e-13 3.21e-13 3.38e-13 3.55e-13 3.73e-13 3.90e-13 
86  29   2  2.03e-15 3.39e-15 4.97e-15 6.88e-15 9.15e-15 1.18e-14 1.48e-14 1.82e-14 2.19e-14 2.60e-14 3.03e-14 3.49e-14 3.98e-14 4.49e-14 5.02e-14 5.58e-14 6.16e-14 6.77e-14 7.40e-14 8.06e-14 8.74e-14 9.45e-14 1.02e-13 1.09e-13 1.17e-13 1.25e-13 1.34e-13 1.42e-13 1.51e-13 1.60e-13 
87  29   1  4.26e-15 7.06e-15 1.03e-14 1.41e-14 1.86e-14 2.39e-14 2.99e-14 3.66e-14 4.39e-14 5.19e-14 6.03e-14 6.92e-14 7.84e-14 8.81e-14 9.80e-14 1.08e-13 1.19e-13 1.29e-13 1.40e-13 1.50e-13 1.61e-13 1.72e-13 1.83e-13 1.94e-13 2.05e-13 2.15e-13 2.26e-13 2.37e-13 2.47e-13 2.58e-13 
88  28  27  3.69e-12 4.03e-12 4.50e-12 5.02e-12 5.57e-12 6.13e-12 6.70e-12 7.27e-12 7.83e-12 8.39e-12 8.94e-12 9.47e-12 1.00e-11 1.05e-11 1.10e-11 1.15e-11 1.20e-11 1.25e-11 1.29e-11 1.34e-11 1.38e-11 1.42e-11 1.46e-11 1.50e-11 1.54e-11 1.58e-11 1.62e-11 1.65e-11 1.69e-11 1.72e-11 
89  28  26  2.03e-12 2.04e-12 2.16e-12 2.33e-12 2.52e-12 2.73e-12 2.95e-12 3.17e-12 3.41e-12 3.65e-12 3.89e-12 4.14e-12 4.40e-12 4.66e-12 4.92e-12 5.19e-12 5.46e-12 5.73e-12 6.01e-12 6.28e-12 6.56e-12 6.84e-12 7.12e-12 7.39e-12 7.67e-12 7.95e-12 8.22e-12 8.50e-12 8.77e-12 9.04e-12 
90  28  25  4.85e-14 5.78e-14 7.06e-14 8.63e-14 1.05e-13 1.26e-13 1.51e-13 1.78e-13 2.08e-13 2.41e-13 2.77e-13 3.15e-13 3.57e-13 4.01e-13 4.48e-13 4.97e-13 5.49e-13 6.03e-13 6.59e-13 7.18e-13 7.79e-13 8.41e-13 9.05e-13 9.71e-13 1.04e-12 1.11e-12 1.18e-12 1.25e-12 1.32e-12 1.39e-12 
91  28  24  1.10e-12 1.36e-12 1.72e-12 2.16e-12 2.66e-12 3.21e-12 3.80e-12 4.42e-12 5.06e-12 5.72e-12 6.39e-12 7.07e-12 7.76e-12 8.44e-12 9.14e-12 9.82e-12 1.05e-11 1.12e-11 1.19e-11 1.25e-11 1.32e-11 1.39e-11 1.45e-11 1.52e-11 1.58e-11 1.64e-11 1.70e-11 1.77e-11 1.83e-11 1.88e-11 
92  28  23  1.25e-11 1.35e-11 1.50e-11 1.69e-11 1.89e-11 2.11e-11 2.33e-11 2.56e-11 2.78e-11 3.01e-11 3.23e-11 3.45e-11 3.66e-11 3.87e-11 4.07e-11 4.27e-11 4.46e-11 4.65e-11 4.84e-11 5.01e-11 5.19e-11 5.35e-11 5.52e-11 5.67e-11 5.83e-11 5.97e-11 6.12e-11 6.26e-11 6.39e-11 6.52e-11 
93  28  22  7.82e-14 9.62e-14 1.22e-13 1.53e-13 1.89e-13 2.30e-13 2.75e-13 3.24e-13 3.76e-13 4.31e-13 4.89e-13 5.49e-13 6.12e-13 6.77e-13 7.44e-13 8.12e-13 8.82e-13 9.53e-13 1.03e-12 1.10e-12 1.18e-12 1.25e-12 1.33e-12 1.41e-12 1.49e-12 1.57e-12 1.65e-12 1.73e-12 1.81e-12 1.89e-12 
94  28  21  2.95e-13 3.28e-13 3.88e-13 4.67e-13 5.63e-13 6.71e-13 7.91e-13 9.20e-13 1.06e-12 1.20e-12 1.35e-12 1.50e-12 1.66e-12 1.82e-12 1.98e-12 2.14e-12 2.30e-12 2.46e-12 2.62e-12 2.78e-12 2.94e-12 3.10e-12 3.25e-12 3.40e-12 3.55e-12 3.70e-12 3.84e-12 3.99e-12 4.12e-12 4.26e-12 
95  28  20  2.03e-13 2.60e-13 3.42e-13 4.47e-13 5.75e-13 7.23e-13 8.91e-13 1.08e-12 1.28e-12 1.49e-12 1.72e-12 1.97e-12 2.22e-12 2.48e-12 2.75e-12 3.03e-12 3.31e-12 3.60e-12 3.90e-12 4.20e-12 4.51e-12 4.82e-12 5.13e-12 5.45e-12 5.76e-12 6.09e-12 6.41e-12 6.73e-12 7.06e-12 7.39e-12 
96  28  19  2.61e-13 3.17e-13 3.99e-13 5.03e-13 6.25e-13 7.65e-13 9.18e-13 1.08e-12 1.26e-12 1.44e-12 1.63e-12 1.83e-12 2.03e-12 2.24e-12 2.45e-12 2.66e-12 2.87e-12 3.08e-12 3.29e-12 3.50e-12 3.72e-12 3.93e-12 4.14e-12 4.35e-12 4.55e-12 4.76e-12 4.96e-12 5.17e-12 5.37e-12 5.57e-12 
97  28  18  1.06e-14 1.39e-14 1.89e-14 2.59e-14 3.50e-14 4.62e-14 5.99e-14 7.59e-14 9.45e-14 1.16e-13 1.40e-13 1.66e-13 1.95e-13 2.26e-13 2.60e-13 2.97e-13 3.36e-13 3.77e-13 4.21e-13 4.67e-13 5.15e-13 5.65e-13 6.17e-13 6.71e-13 7.26e-13 7.83e-13 8.42e-13 9.02e-13 9.63e-13 1.03e-12 
98  28  17  2.50e-14 3.08e-14 4.00e-14 5.23e-14 6.75e-14 8.56e-14 1.06e-13 1.30e-13 1.56e-13 1.84e-13 2.15e-13 2.48e-13 2.83e-13 3.19e-13 3.57e-13 3.97e-13 4.38e-13 4.81e-13 5.25e-13 5.69e-13 6.15e-13 6.61e-13 7.09e-13 7.56e-13 8.05e-13 8.53e-13 9.02e-13 9.52e-13 1.00e-12 1.05e-12 
99  28  16  2.80e-14 3.77e-14 5.24e-14 7.22e-14 9.71e-14 1.27e-13 1.62e-13 2.02e-13 2.46e-13 2.94e-13 3.46e-13 4.02e-13 4.60e-13 5.22e-13 5.87e-13 6.54e-13 7.23e-13 7.94e-13 8.67e-13 9.42e-13 1.02e-12 1.10e-12 1.17e-12 1.25e-12 1.33e-12 1.41e-12 1.50e-12 1.58e-12 1.66e-12 1.74e-12 
100  28  15  2.26e-14 3.16e-14 4.55e-14 6.50e-14 9.09e-14 1.24e-13 1.64e-13 2.12e-13 2.69e-13 3.33e-13 4.07e-13 4.88e-13 5.78e-13 6.76e-13 7.82e-13 8.96e-13 1.02e-12 1.14e-12 1.28e-12 1.42e-12 1.56e-12 1.71e-12 1.86e-12 2.02e-12 2.19e-12 2.35e-12 2.52e-12 2.69e-12 2.86e-12 3.04e-12 
101  28  14  2.09e-15 2.71e-15 3.70e-15 5.08e-15 6.91e-15 9.23e-15 1.21e-14 1.56e-14 1.98e-14 2.47e-14 3.04e-14 3.70e-14 4.44e-14 5.27e-14 6.19e-14 7.21e-14 8.32e-14 9.53e-14 1.08e-13 1.22e-13 1.37e-13 1.53e-13 1.70e-13 1.87e-13 2.06e-13 2.25e-13 2.45e-13 2.66e-13 2.87e-13 3.09e-13 
102  28  13  1.75e-15 2.44e-15 3.53e-15 5.09e-15 7.19e-15 9.92e-15 1.34e-14 1.76e-14 2.27e-14 2.87e-14 3.58e-14 4.40e-14 5.33e-14 6.38e-14 7.56e-14 8.86e-14 1.03e-13 1.18e-13 1.35e-13 1.53e-13 1.72e-13 1.92e-13 2.14e-13 2.36e-13 2.59e-13 2.84e-13 3.09e-13 3.35e-13 3.62e-13 3.89e-13 
103  28  12  9.87e-15 1.35e-14 1.91e-14 2.68e-14 3.68e-14 4.93e-14 6.44e-14 8.21e-14 1.03e-13 1.26e-13 1.52e-13 1.80e-13 2.12e-13 2.46e-13 2.82e-13 3.22e-13 3.63e-13 4.08e-13 4.54e-13 5.03e-13 5.54e-13 6.07e-13 6.62e-13 7.19e-13 7.77e-13 8.38e-13 9.00e-13 9.63e-13 1.03e-12 1.09e-12 
104  28  11  2.45e-15 3.49e-15 5.14e-15 7.50e-15 1.06e-14 1.46e-14 1.95e-14 2.53e-14 3.21e-14 4.00e-14 4.90e-14 5.91e-14 7.04e-14 8.28e-14 9.64e-14 1.11e-13 1.27e-13 1.44e-13 1.62e-13 1.81e-13 2.01e-13 2.23e-13 2.45e-13 2.68e-13 2.92e-13 3.17e-13 3.43e-13 3.69e-13 3.96e-13 4.23e-13 
105  28  10  7.29e-16 9.96e-16 1.44e-15 2.09e-15 3.01e-15 4.23e-15 5.84e-15 7.89e-15 1.05e-14 1.37e-14 1.75e-14 2.21e-14 2.74e-14 3.36e-14 4.07e-14 4.86e-14 5.74e-14 6.72e-14 7.79e-14 8.95e-14 1.02e-13 1.15e-13 1.30e-13 1.45e-13 1.61e-13 1.77e-13 1.95e-13 2.13e-13 2.31e-13 2.51e-13 
106  28   9  1.18e-15 1.68e-15 2.50e-15 3.69e-15 5.32e-15 7.43e-15 1.01e-14 1.33e-14 1.71e-14 2.15e-14 2.66e-14 3.24e-14 3.89e-14 4.61e-14 5.40e-14 6.26e-14 7.20e-14 8.20e-14 9.26e-14 1.04e-13 1.16e-13 1.28e-13 1.42e-13 1.55e-13 1.69e-13 1.84e-13 1.99e-13 2.14e-13 2.30e-13 2.46e-13 
107  28   8  2.54e-15 3.52e-15 5.05e-15 7.18e-15 9.96e-15 1.34e-14 1.75e-14 2.23e-14 2.78e-14 3.39e-14 4.07e-14 4.81e-14 5.61e-14 6.46e-14 7.37e-14 8.34e-14 9.35e-14 1.04e-13 1.15e-13 1.27e-13 1.38e-13 1.51e-13 1.63e-13 1.76e-13 1.89e-13 2.03e-13 2.16e-13 2.30e-13 2.45e-13 2.59e-13 
