!MOLECULE
CF+ spectroscopy from CDMS version 2 of Feb 2010                                                                 
!MOLECULAR WEIGHT
   31.0 
! NUMBER OF ENERGY LEVELS
          11
!LEVEL + ENERGIES(cm^-1) + WEIGHT + J (or other quantum numbers)
    1     0.000000000   1.0   0
    2     3.421951752   3.0   1  
    3    10.265751887   5.0   2 
    4    20.530946599   7.0   3 
    5    34.217287098   9.0   4 
    6    51.323917641  11.0   5 
    7    71.850389160  13.0   6 
    8    95.795448247  15.0   7 
    9   123.158343251  17.0   8 
   10   153.937622244  19.0   9 
   11   188.132133327  21.0  10 
! NUMBER OF RADIATIVE TRANSITIONS
          10
!TRANS + U + L + A(s^-1) + FREQ(GHz) + E_u/k(K)
     1     2     1  4.817E-06         102.58753270     4.92   
     2     3     2  4.624E-05         205.17052000    14.77   
     3     4     3  1.672E-04         307.74435100    29.54    
     4     5     4  4.109E-04         410.30456500    49.23    
     5     6     5  8.206E-04         512.84649300    73.84    
     6     7     6  1.439E-03         615.36566600   103.38    
     7     8     7  2.310E-03         717.85748500   137.83     
     8     9     8  3.477E-03         820.31740360   177.20     
     9    10     9  4.981E-03         922.74086710   221.48   
    10    11    10  6.866E-03        1025.12332170   270.68    
! NUMBER OF COLLISION PARTNERS
1
! COLLISION PARTNER
1 H2 scaled from He rates by Ajili & Hammami 2013, A&A 556, A82
! NUMBER OF COLLISIONAL TRANSITIONS
55
! NUMBER OF TEMPERATURES
10 
! TEMPERATURES
10.0 20.0 30.0 50.0 70.0 100.0 150.0 200.0 250.0 300.0  
! TRANSITION-NUMBER UPPER-STATE LOWER-STATE RATE (CM^3S^-1)
26   8   5  7.64e-11 7.64e-11 7.38e-11 6.80e-11 6.30e-11 5.73e-11 5.10e-11 4.70e-11 4.43e-11 4.23e-11 
27   8   6  1.89e-10 1.84e-10 1.80e-10 1.70e-10 1.61e-10 1.51e-10 1.40e-10 1.33e-10 1.29e-10 1.25e-10 
28   8   7  1.09e-10 1.15e-10 1.16e-10 1.17e-10 1.17e-10 1.17e-10 1.17e-10 1.17e-10 1.16e-10 1.15e-10 
29   9   1  7.74e-12 7.62e-12 7.30e-12 6.65e-12 6.14e-12 5.63e-12 5.17e-12 4.94e-12 4.83e-12 4.77e-12 
30   9   2  1.84e-11 1.78e-11 1.69e-11 1.52e-11 1.38e-11 1.22e-11 1.06e-11 9.60e-12 8.99e-12 8.58e-12 
31   9   3  4.57e-11 4.46e-11 4.32e-11 4.02e-11 3.77e-11 3.50e-11 3.21e-11 3.05e-11 2.94e-11 2.88e-11 
32   9   4  4.53e-11 4.43e-11 4.24e-11 3.86e-11 3.55e-11 3.20e-11 2.82e-11 2.59e-11 2.44e-11 2.33e-11 
33   9   5  1.20e-10 1.14e-10 1.10e-10 1.02e-10 9.52e-11 8.77e-11 7.94e-11 7.43e-11 7.07e-11 6.81e-11 
34   9   6  7.24e-11 7.28e-11 7.10e-11 6.66e-11 6.26e-11 5.79e-11 5.27e-11 4.92e-11 4.68e-11 4.50e-11 
35   9   7  2.01e-10 1.94e-10 1.88e-10 1.76e-10 1.66e-10 1.55e-10 1.43e-10 1.35e-10 1.31e-10 1.27e-10 
36   9   8  9.52e-11 1.03e-10 1.06e-10 1.08e-10 1.09e-10 1.11e-10 1.12e-10 1.12e-10 1.12e-10 1.11e-10 
37  10   1  4.80e-12 4.68e-12 4.47e-12 4.06e-12 3.70e-12 3.30e-12 2.86e-12 2.60e-12 2.43e-12 2.31e-12 
38  10   2  1.80e-11 1.75e-11 1.67e-11 1.52e-11 1.40e-11 1.28e-11 1.16e-11 1.10e-11 1.07e-11 1.05e-11 
39  10   3  2.36e-11 2.32e-11 2.24e-11 2.06e-11 1.89e-11 1.71e-11 1.50e-11 1.38e-11 1.30e-11 1.24e-11 
40  10   4  4.88e-11 4.81e-11 4.68e-11 4.40e-11 4.17e-11 3.89e-11 3.60e-11 3.42e-11 3.31e-11 3.23e-11 
41  10   5  4.38e-11 4.37e-11 4.25e-11 3.97e-11 3.72e-11 3.42e-11 3.08e-11 2.87e-11 2.72e-11 2.62e-11 
42  10   6  1.22e-10 1.17e-10 1.12e-10 1.04e-10 9.73e-11 8.98e-11 8.16e-11 7.65e-11 7.29e-11 7.03e-11 
43  10   7  6.61e-11 6.76e-11 6.70e-11 6.41e-11 6.11e-11 5.73e-11 5.29e-11 5.00e-11 4.79e-11 4.63e-11 
44  10   8  2.05e-10 1.99e-10 1.92e-10 1.80e-10 1.69e-10 1.57e-10 1.45e-10 1.37e-10 1.32e-10 1.29e-10 
45  10   9  8.80e-11 9.50e-11 9.82e-11 1.01e-10 1.02e-10 1.04e-10 1.06e-10 1.07e-10 1.07e-10 1.07e-10 
46  11   1  5.31e-12 4.92e-12 4.56e-12 4.01e-12 3.61e-12 3.21e-12 2.84e-12 2.64e-12 2.53e-12 2.46e-12 
