!MOLECULE
 NO from JPL database, updated 2010, incl. cross-ladder trans.          
!MOLECULAR WEIGHT
 30.
! NUMBER OF ENERGY LEVELS
 154
!LEVEL + ENERGIES(cm^-1) + WEIGHT + J (or other quantum numbers)
  121   280.808573339  24.0  ' 12   1  13  12 '
  122   280.949000000  24.0  ' 12  -1  13  12 '
  123   280.951138273  26.0  ' 12  -1  13  13 '
  124   280.953353205  28.0  ' 12  -1  13  14 '
  125   289.950000000  18.0  ' 10  -1  10   9 '
  126   289.950200000  20.0  ' 10  -1  10  10 '
  127   289.950300000  22.0  ' 10  -1  10  11 '
  128   289.954773040  18.0  ' 10   1  10   9 '
  129   289.954876313  20.0  ' 10   1  10  10 '
  130   289.955170596  22.0  ' 10   1  10  11 '
  131   325.936200000  30.0  ' 13  -1  14  15 '
  132   325.937613825  28.0  ' 13  -1  14  14 '
  133   325.939064223  26.0  ' 13  -1  14  13 '
  134   326.026500000  20.0  ' 11   1  11  10 '
  135   326.026600000  22.0  ' 11   1  11  11 '
  136   326.026700000  24.0  ' 11   1  11  12 '
  137   326.032746469  20.0  ' 11  -1  11  10 '
  138   326.032869498  22.0  ' 11  -1  11  11 '
  139   326.033119308  24.0  ' 11  -1  11  12 '
  140   326.088900000  26.0  ' 13   1  14  13 '
  141   326.091047582  28.0  ' 13   1  14  14 '
  142   326.093343799  30.0  ' 13   1  14  15 '
  143   365.528600000  24.0  ' 12  -1  12  12 '
  144   365.528600000  22.0  ' 12  -1  12  11 '
  145   365.528700000  26.0  ' 12  -1  12  13 '
  146   365.536590795  22.0  ' 12   1  12  11 '
  147   365.536733047  24.0  ' 12   1  12  12 '
  148   365.536945768  26.0  ' 12   1  12  13 '
  149   374.408100000  32.0  ' 14   1  15  16 '
  150   374.409488637  30.0  ' 14   1  15  15 '
  151   374.410853526  28.0  ' 14   1  15  14 '
  152   374.569900000  28.0  ' 14  -1  15  14 '
  153   374.572056338  30.0  ' 14  -1  15  15 '
  154   374.574335667  32.0  ' 14  -1  15  16 '
! NUMBER OF RADIATIVE TRANSITIONS
 2327
!TRANS + U + L + A(s^-1) + FREQ(GHz) + E_u/k(K)
     1    99    98  2.249E-22           0.01033860   291.06     
     2   118   117  2.302E-22           0.01044710   370.21     
     3    96    95  2.834E-22           0.01116600   291.06     
     4    97    96  3.383E-22           0.01237890   291.06     
     5   106   105  3.720E-22           0.01246960   328.17     
     6    87    85  4.326E-22           0.01326050   258.91     
     7    87    86  1.357E-21           0.01390500   258.91     
     8    67    66  7.125E-21           0.01407680   209.42     
     9    84    83  5.222E-22           0.01411950   258.90     
    10   100    99  6.094E-22           0.01506140   291.07     
    11    86    84  6.980E-22           0.01635900   258.90     
    12    85    84  2.972E-21           0.01700480   258.90     
    13    74    73  7.858E-22           0.01708670   231.69     
    14    74    72  1.223E-19           0.01711280   231.69     
    15    72    71  9.085E-22           0.01793390   231.69     
    16    73    71  1.459E-19           0.01796000   231.69     
    17    88    87  1.013E-21           0.01851820   258.91     
    18    76    75  1.697E-19           0.01878340   231.69     
    19     2     1  5.939E-22           0.01998500     0.00     
    20    69    68  2.000E-20           0.02133330   209.42     
    21    75    72  1.352E-21           0.02172630   231.69     
    22    68    66  1.260E-21           0.02241490   209.42     
    23    67    65  1.398E-21           0.02320560   209.42     
    24    76    74  1.688E-21           0.02339700   231.69     
    25     7     6  3.473E-21           0.02689320     7.21     
    26    55    54  1.659E-19           0.02744610   192.10     
    27    69    67  2.357E-21           0.02967140   209.42     
    28    87    84  4.789E-19           0.03026500   258.91     
    29    56    54  1.141E-21           0.03056660   192.10     
    30    70    68  2.660E-21           0.03088970   209.42     
    31    85    83  5.332E-19           0.03112400   258.90     
    32    55    53  1.220E-21           0.03125440   192.10     
    33    68    65  8.019E-20           0.03155000   209.42     
    34    88    86  6.085E-19           0.03242500   258.91     
    35    56    53  3.261E-19           0.03439000   192.10     
    36    13    12  1.047E-20           0.03476540    19.23     
    37    74    71  4.504E-20           0.03504500   231.69     
    38    99    97  1.287E-20           0.03619600   291.06     
    39    98    96  1.768E-20           0.03824300   291.06     
    40    19    18  1.553E-20           0.03887610    36.06     
    41    70    67  1.243E-19           0.03922100   209.42     
    42    57    56  3.980E-19           0.04017200   192.10     
    43    76    72  5.819E-20           0.04051200   231.69     
    44    25    24  1.879E-20           0.04126950    57.70     
    45   150   149  1.733E-20           0.04163030   538.69     
    46     6     5  7.289E-21           0.04228540     7.21     
    47   132   131  1.825E-20           0.04238540   468.95     
    48    31    30  2.085E-20           0.04273260    84.16     
    49   120   119  1.918E-20           0.04313390   404.02     
    50    57    55  2.482E-21           0.04328780   192.10     
    51   151   150  2.129E-20           0.04357560   538.69     
    52    37    36  2.210E-20           0.04363340   115.42     
    53   108   107  2.011E-20           0.04387050   343.89     
    54   133   132  2.182E-20           0.04389630   468.95     
    55    58    56  2.623E-21           0.04409000   192.10     
    56    43    42  2.280E-20           0.04416760   151.49     
    57   121   120  2.230E-20           0.04416960   404.02     
    58   109   108  2.271E-20           0.04438220   343.90     
    59    87    83  4.403E-20           0.04438480   258.91     
    60    61    60  2.311E-20           0.04444940   192.38     
    61    91    90  2.300E-20           0.04451690   288.58     
    62    79    78  2.316E-20           0.04455010   238.08     
    63    90    89  2.102E-20           0.04458810   288.58     
    64    49    48  3.490E-18           0.04469750   179.72     
    65    78    77  2.189E-20           0.04527770   238.07     
    66    50    48  2.924E-21           0.04530940   179.72     
    67    49    47  3.029E-21           0.04584540   179.72     
    68    60    59  2.268E-20           0.04592650   192.38     
    69    12    11  1.660E-20           0.04609680    19.23     
    70    50    47  3.919E-18           0.04646400   179.72     
    71    42    41  2.332E-20           0.04651610   151.49     
    72    36    35  2.373E-20           0.04701780   115.42     
    73    58    55  6.462E-19           0.04721100   192.10     
    74    18    17  2.109E-20           0.04725730    36.06     
    75    30    29  2.374E-20           0.04738380    84.15     
    76    24    23  2.305E-20           0.04752580    57.70     
    77    99    96  1.470E-18           0.04857800   291.06     
    78    88    84  5.022E-20           0.04878600   258.91     
    79    98    95  1.574E-18           0.04940500   291.06     
    80   100    97  1.768E-18           0.05126000   291.07     
    81    99    95  5.780E-20           0.05974200   291.06     
    82    27    26  5.093E-20           0.06196260    57.78     
    83    21    20  4.736E-20           0.06203040    36.13     
    84    33    32  5.332E-20           0.06208300    84.25     
    85    39    38  5.518E-20           0.06230380   115.53     
    86    15    14  4.056E-20           0.06247520    19.28     
    87    45    44  5.677E-20           0.06257840   151.62     
    88    63    62  5.819E-20           0.06288010   192.53     
    89    81    80  5.952E-20           0.06319240   238.24     
    90    93    92  6.073E-20           0.06350470   288.76     
    91   105   103  4.067E-20           0.06355200   328.17     
    92   100    96  6.121E-20           0.06364000   291.07     
    93     9     8  2.322E-20           0.06379550     7.24     
    94   111   110  6.188E-20           0.06381000   344.09     
    95   123   122  6.295E-20           0.06410380   404.23     
    96   141   140  6.396E-20           0.06438290   469.17     
    97   153   152  6.490E-20           0.06464540   538.92     
    98   104   102  4.918E-20           0.06477800   328.16     
    99   154   153  6.781E-20           0.06702360   538.93     
   100   142   141  6.809E-20           0.06726740   469.17     
   101   124   123  6.842E-20           0.06754940   404.23     
   102   112   111  6.879E-20           0.06788410   344.09     
   103    94    93  6.926E-20           0.06829240   288.76     
   104    82    81  6.987E-20           0.06880430   238.24     
   105    64    63  7.066E-20           0.06946440   192.53     
   106    46    45  7.174E-20           0.07034170   151.63     
   107    40    39  7.322E-20           0.07154770   115.54     
   108   105   102  3.804E-18           0.07278600   328.17     
   109    34    33  7.532E-20           0.07327610    84.26     
   110    51    50  1.108E-17           0.07328600   179.72     
   111   104   101  3.977E-18           0.07354000   328.16     
   112    51    49  9.144E-21           0.07390560   179.72     
   113    52    50  9.298E-21           0.07432270   179.72     
   114    52    49  1.184E-17           0.07493100   179.72     
   115    28    27  7.832E-20           0.07589260    57.79     
   116   106   103  4.411E-18           0.07602500   328.17     
   117    22    21  8.253E-20           0.08018140    36.13     
   118   105   101  8.586E-20           0.08154700   328.17     
   119   106   102  8.728E-20           0.08525500   328.17     
   120    16    15  8.734E-20           0.08818110    19.28     
   121   117   115  8.975E-20           0.09695100   370.20     
   122   116   114  1.026E-19           0.09748300   370.20     
   123   117   114  8.674E-18           0.10357500   370.20     
   124   116   113  8.934E-18           0.10421600   370.20     
   125    10     9  7.995E-20           0.10736820     7.25     
   126   118   115  9.804E-18           0.10740000   370.21     
   127   117   113  1.321E-19           0.11030600   370.20     
   128   118   114  1.314E-19           0.11402400   370.21     
   129   128   126  1.841E-19           0.13709630   417.18     
   130   129   127  1.661E-19           0.13719440   417.18     
   131   129   126  1.794E-17           0.14157730   417.18     
   132   128   125  1.829E-17           0.14206590   417.18     
   133   130   127  1.989E-17           0.14601680   417.18     
   134   129   125  2.023E-19           0.14654690   417.18     
   135   130   126  1.989E-19           0.15039970   417.18     
   136   137   135  3.007E-19           0.18426650   469.09     
   137   138   136  2.765E-19           0.18495690   469.09     
   138   138   135  3.430E-17           0.18736670   469.09     
   139   137   134  3.473E-17           0.18766740   469.09     
   140   138   134  3.033E-19           0.19076760   469.09     
   141   139   136  3.750E-17           0.19244600   469.09     
   142   139   135  2.964E-19           0.19485580   469.09     
   143     4     3  3.208E-19           0.20525480     0.02     
   144     3     2  9.518E-17           0.20595100     0.01     
   145     3     1  1.004E-15           0.22593570     0.01     
   146   146   143  4.602E-19           0.23955800   525.92     
   147   147   145  4.287E-19           0.24082470   525.93     
   148   147   143  6.149E-17           0.24146010   525.93     
   149   146   144  6.195E-17           0.24153880   525.92     
   150   147   144  4.427E-19           0.24344090   525.93     
   151   148   145  6.647E-17           0.24720190   525.93     
   152   148   143  4.313E-19           0.24783720   525.93     
