!MOLECULE
 NO from JPL database, updated 2010, incl. cross-ladder trans.          
!MOLECULAR WEIGHT
 30.
! NUMBER OF ENERGY LEVELS
 154
!LEVEL + ENERGIES(cm^-1) + WEIGHT + J (or other quantum numbers)
 2272   68   61 .38E-12 .62E-12 .84E-12 .11E-11 .13E-11 .15E-11 .19E-11 .24E-11 .28E-11 .32E-11
 2273   68   62 .33E-12 .60E-12 .76E-12 .87E-12 .95E-12 .10E-11 .11E-11 .12E-11 .13E-11 .13E-11
 2274   68   63 .38E-12 .67E-12 .86E-12 .98E-12 .11E-11 .11E-11 .12E-11 .13E-11 .14E-11 .15E-11
 2275   68   64 .42E-12 .75E-12 .95E-12 .11E-11 .12E-11 .13E-11 .14E-11 .15E-11 .16E-11 .17E-11
 2276   68   65 .31E-11 .36E-11 .40E-11 .44E-11 .47E-11 .50E-11 .56E-11 .60E-11 .64E-11 .67E-11
 2277   68   66 .18E-09 .28E-09 .31E-09 .32E-09 .32E-09 .33E-09 .32E-09 .32E-09 .32E-09 .32E-09
 2278   68   67 .42E-11 .49E-11 .53E-11 .58E-11 .63E-11 .67E-11 .74E-11 .81E-11 .85E-11 .89E-11
 2279   69    1 .60E-12 .63E-12 .66E-12 .70E-12 .73E-12 .76E-12 .83E-12 .91E-12 .98E-12 .11E-11
 2280   69    2 .30E-12 .31E-12 .33E-12 .35E-12 .37E-12 .38E-12 .41E-12 .45E-12 .49E-12 .53E-12
 2281   69    3 .66E-13 .69E-13 .69E-13 .71E-13 .73E-13 .75E-13 .81E-13 .87E-13 .93E-13 .98E-13
 2282   69    4 .13E-12 .14E-12 .14E-12 .14E-12 .15E-12 .15E-12 .16E-12 .17E-12 .19E-12 .20E-12
 2283   69    5 .31E-12 .31E-12 .30E-12 .30E-12 .30E-12 .31E-12 .32E-12 .33E-12 .35E-12 .37E-12
 2284   69    6 .21E-12 .20E-12 .20E-12 .20E-12 .20E-12 .20E-12 .21E-12 .22E-12 .24E-12 .25E-12
 2285   69    7 .10E-12 .10E-12 .10E-12 .10E-12 .10E-12 .10E-12 .11E-12 .11E-12 .12E-12 .12E-12
 2286   69    8 .27E-12 .32E-12 .36E-12 .40E-12 .44E-12 .47E-12 .53E-12 .59E-12 .64E-12 .68E-12
 2287   69    9 .55E-12 .64E-12 .72E-12 .80E-12 .88E-12 .94E-12 .11E-11 .12E-11 .13E-11 .14E-11
 2288   69   10 .82E-12 .96E-12 .11E-11 .12E-11 .13E-11 .14E-11 .16E-11 .18E-11 .19E-11 .20E-11
 2289   69   11 .17E-11 .18E-11 .19E-11 .20E-11 .21E-11 .22E-11 .23E-11 .25E-11 .27E-11 .29E-11
 2290   69   12 .13E-11 .13E-11 .14E-11 .15E-11 .15E-11 .16E-11 .17E-11 .19E-11 .20E-11 .22E-11
 2291   69   13 .87E-12 .90E-12 .94E-12 .98E-12 .10E-11 .11E-11 .12E-11 .13E-11 .14E-11 .15E-11
 2292   69   14 .13E-12 .14E-12 .16E-12 .17E-12 .19E-12 .20E-12 .22E-12 .25E-12 .26E-12 .28E-12
 2293   69   15 .19E-12 .22E-12 .24E-12 .26E-12 .28E-12 .30E-12 .33E-12 .37E-12 .40E-12 .42E-12
 2294   69   16 .26E-12 .29E-12 .32E-12 .35E-12 .37E-12 .40E-12 .45E-12 .49E-12 .53E-12 .56E-12
 2295   69   17 .17E-11 .17E-11 .18E-11 .18E-11 .19E-11 .20E-11 .22E-11 .24E-11 .26E-11 .28E-11
 2296   69   18 .14E-11 .14E-11 .14E-11 .15E-11 .16E-11 .16E-11 .18E-11 .19E-11 .21E-11 .23E-11
 2297   69   19 .10E-11 .10E-11 .11E-11 .11E-11 .12E-11 .12E-11 .13E-11 .15E-11 .16E-11 .17E-11
 2298   69   20 .41E-12 .49E-12 .57E-12 .67E-12 .78E-12 .87E-12 .10E-11 .12E-11 .14E-11 .15E-11
 2299   69   21 .54E-12 .65E-12 .77E-12 .90E-12 .10E-11 .12E-11 .14E-11 .16E-11 .18E-11 .19E-11
 2300   69   22 .68E-12 .81E-12 .96E-12 .11E-11 .13E-11 .15E-11 .17E-11 .20E-11 .23E-11 .24E-11
 2301   69   23 .74E-12 .81E-12 .86E-12 .91E-12 .96E-12 .10E-11 .11E-11 .12E-11 .13E-11 .14E-11
 2302   69   24 .62E-12 .68E-12 .72E-12 .76E-12 .80E-12 .84E-12 .92E-12 .10E-11 .11E-11 .12E-11
 2303   69   25 .49E-12 .54E-12 .57E-12 .61E-12 .64E-12 .67E-12 .73E-12 .80E-12 .87E-12 .93E-12
 2304   69   26 .64E-12 .68E-12 .77E-12 .88E-12 .99E-12 .11E-11 .13E-11 .15E-11 .16E-11 .17E-11
 2305   69   27 .80E-12 .85E-12 .97E-12 .11E-11 .12E-11 .14E-11 .16E-11 .18E-11 .20E-11 .22E-11
 2306   69   28 .96E-12 .10E-11 .12E-11 .13E-11 .15E-11 .16E-11 .19E-11 .22E-11 .24E-11 .26E-11
 2307   69   29 .19E-11 .18E-11 .18E-11 .18E-11 .19E-11 .20E-11 .21E-11 .23E-11 .24E-11 .26E-11
 2308   69   30 .16E-11 .15E-11 .15E-11 .16E-11 .16E-11 .17E-11 .18E-11 .20E-11 .21E-11 .22E-11
 2309   69   31 .13E-11 .13E-11 .13E-11 .13E-11 .14E-11 .14E-11 .15E-11 .16E-11 .17E-11 .18E-11
 2310   69   32 .37E-12 .36E-12 .42E-12 .52E-12 .64E-12 .76E-12 .99E-12 .13E-11 .15E-11 .17E-11
 2311   69   33 .44E-12 .43E-12 .51E-12 .63E-12 .76E-12 .91E-12 .12E-11 .15E-11 .18E-11 .20E-11
 2312   69   34 .51E-12 .51E-12 .59E-12 .73E-12 .89E-12 .11E-11 .14E-11 .18E-11 .21E-11 .23E-11
 2313   69   35 .21E-11 .20E-11 .20E-11 .20E-11 .20E-11 .21E-11 .21E-11 .22E-11 .23E-11 .24E-11
 2314   69   36 .19E-11 .18E-11 .17E-11 .18E-11 .18E-11 .18E-11 .19E-11 .19E-11 .20E-11 .21E-11
 2315   69   37 .16E-11 .15E-11 .15E-11 .15E-11 .15E-11 .15E-11 .16E-11 .17E-11 .17E-11 .18E-11
 2316   69   38 .57E-12 .75E-12 .94E-12 .11E-11 .13E-11 .15E-11 .19E-11 .22E-11 .25E-11 .28E-11
 2317   69   39 .66E-12 .87E-12 .11E-11 .13E-11 .16E-11 .18E-11 .22E-11 .26E-11 .29E-11 .32E-11
 2318   69   40 .76E-12 .10E-11 .13E-11 .15E-11 .18E-11 .20E-11 .25E-11 .30E-11 .34E-11 .37E-11
 2319   69   41 .13E-11 .14E-11 .15E-11 .15E-11 .16E-11 .17E-11 .18E-11 .19E-11 .20E-11 .21E-11
 2320   69   42 .11E-11 .13E-11 .13E-11 .14E-11 .14E-11 .15E-11 .16E-11 .17E-11 .18E-11 .19E-11
 2321   69   43 .10E-11 .11E-11 .11E-11 .12E-11 .12E-11 .13E-11 .14E-11 .15E-11 .16E-11 .16E-11
 2322   69   44 .75E-12 .10E-11 .12E-11 .14E-11 .16E-11 .18E-11 .20E-11 .24E-11 .26E-11 .29E-11
 2323   69   45 .86E-12 .12E-11 .14E-11 .16E-11 .18E-11 .20E-11 .23E-11 .27E-11 .30E-11 .33E-11
 2324   69   46 .97E-12 .13E-11 .16E-11 .18E-11 .21E-11 .23E-11 .26E-11 .30E-11 .34E-11 .37E-11
 2325   69   47 .39E-11 .40E-11 .41E-11 .42E-11 .43E-11 .43E-11 .44E-11 .46E-11 .47E-11 .48E-11
 2326   69   48 .85E-12 .10E-11 .13E-11 .14E-11 .16E-11 .17E-11 .20E-11 .21E-11 .23E-11 .24E-11
 2327   69   49 .77E-11 .81E-11 .83E-11 .84E-11 .85E-11 .87E-11 .89E-11 .91E-11 .94E-11 .96E-11
 2328   69   50 .17E-11 .21E-11 .25E-11 .29E-11 .32E-11 .35E-11 .39E-11 .43E-11 .46E-11 .47E-11
 2329   69   51 .12E-10 .12E-10 .12E-10 .13E-10 .13E-10 .13E-10 .13E-10 .14E-10 .14E-10 .14E-10
 2330   69   52 .26E-11 .31E-11 .38E-11 .43E-11 .48E-11 .52E-11 .59E-11 .64E-11 .68E-11 .71E-11
 2331   69   53 .62E-11 .66E-11 .69E-11 .72E-11 .73E-11 .75E-11 .77E-11 .79E-11 .82E-11 .84E-11
 2332   69   54 .51E-11 .56E-11 .58E-11 .61E-11 .63E-11 .65E-11 .69E-11 .72E-11 .74E-11 .75E-11
 2333   69   55 .92E-11 .10E-10 .10E-10 .11E-10 .11E-10 .11E-10 .12E-10 .12E-10 .12E-10 .13E-10
 2334   69   56 .76E-11 .83E-11 .87E-11 .91E-11 .95E-11 .98E-11 .10E-10 .11E-10 .11E-10 .11E-10
 2335   69   57 .12E-10 .13E-10 .14E-10 .14E-10 .15E-10 .15E-10 .15E-10 .16E-10 .16E-10 .17E-10
 2336   69   58 .10E-10 .11E-10 .12E-10 .12E-10 .13E-10 .13E-10 .14E-10 .14E-10 .15E-10 .15E-10
 2337   69   59 .62E-12 .11E-11 .13E-11 .15E-11 .16E-11 .17E-11 .18E-11 .19E-11 .20E-11 .20E-11
 2338   69   60 .56E-12 .95E-12 .12E-11 .13E-11 .15E-11 .15E-11 .16E-11 .17E-11 .18E-11 .18E-11
 2339   69   61 .50E-12 .84E-12 .11E-11 .12E-11 .13E-11 .14E-11 .15E-11 .15E-11 .16E-11 .16E-11
 2340   69   62 .27E-12 .45E-12 .63E-12 .80E-12 .99E-12 .12E-11 .15E-11 .20E-11 .23E-11 .26E-11
 2341   69   63 .30E-12 .51E-12 .70E-12 .91E-12 .11E-11 .13E-11 .17E-11 .22E-11 .26E-11 .30E-11
 2342   69   64 .33E-12 .57E-12 .78E-12 .10E-11 .12E-11 .15E-11 .19E-11 .24E-11 .29E-11 .33E-11
 2343   69   65 .18E-09 .28E-09 .31E-09 .32E-09 .32E-09 .33E-09 .32E-09 .32E-09 .32E-09 .32E-09
 2344   69   66 .31E-11 .36E-11 .40E-11 .44E-11 .47E-11 .50E-11 .56E-11 .60E-11 .64E-11 .67E-11
 2345   69   67 .24E-09 .38E-09 .42E-09 .43E-09 .43E-09 .43E-09 .43E-09 .43E-09 .43E-09 .43E-09
 2346   69   68 .42E-11 .49E-11 .53E-11 .58E-11 .63E-11 .67E-11 .74E-11 .81E-11 .85E-11 .89E-11
 2347   70    1 .23E-12 .24E-12 .25E-12 .26E-12 .27E-12 .28E-12 .30E-12 .32E-12 .34E-12 .36E-12
 2348   70    2 .11E-12 .12E-12 .12E-12 .13E-12 .13E-12 .14E-12 .15E-12 .16E-12 .17E-12 .18E-12
 2349   70    3 .41E-12 .44E-12 .47E-12 .50E-12 .53E-12 .55E-12 .60E-12 .65E-12 .70E-12 .75E-12
 2350   70    4 .82E-12 .88E-12 .94E-12 .10E-11 .11E-11 .11E-11 .12E-11 .13E-11 .14E-11 .15E-11
 2351   70    5 .95E-12 .11E-11 .12E-11 .14E-11 .15E-11 .16E-11 .18E-11 .20E-11 .22E-11 .23E-11
 2352   70    6 .63E-12 .73E-12 .83E-12 .92E-12 .10E-11 .11E-11 .12E-11 .14E-11 .15E-11 .16E-11
 2353   70    7 .32E-12 .37E-12 .41E-12 .46E-12 .50E-12 .54E-12 .61E-12 .68E-12 .74E-12 .78E-12
 2354   70    8 .21E-12 .20E-12 .20E-12 .20E-12 .20E-12 .21E-12 .21E-12 .22E-12 .23E-12 .24E-12
 2355   70    9 .42E-12 .41E-12 .40E-12 .40E-12 .41E-12 .41E-12 .43E-12 .45E-12 .47E-12 .49E-12
 2356   70   10 .63E-12 .61E-12 .60E-12 .60E-12 .61E-12 .62E-12 .64E-12 .67E-12 .70E-12 .73E-12
 2357   70   11 .24E-12 .26E-12 .26E-12 .27E-12 .29E-12 .30E-12 .32E-12 .34E-12 .36E-12 .38E-12
 2358   70   12 .18E-12 .19E-12 .20E-12 .21E-12 .21E-12 .22E-12 .24E-12 .26E-12 .27E-12 .28E-12
 2359   70   13 .12E-12 .13E-12 .13E-12 .14E-12 .14E-12 .15E-12 .16E-12 .17E-12 .18E-12 .19E-12
 2360   70   14 .95E-12 .97E-12 .10E-11 .11E-11 .11E-11 .12E-11 .12E-11 .13E-11 .14E-11 .15E-11
 2361   70   15 .14E-11 .15E-11 .15E-11 .16E-11 .17E-11 .17E-11 .19E-11 .20E-11 .22E-11 .23E-11
 2362   70   16 .19E-11 .19E-11 .20E-11 .21E-11 .22E-11 .23E-11 .25E-11 .27E-11 .29E-11 .31E-11
 2363   70   17 .83E-12 .96E-12 .11E-11 .13E-11 .14E-11 .16E-11 .19E-11 .22E-11 .24E-11 .26E-11
 2364   70   18 .66E-12 .77E-12 .88E-12 .10E-11 .11E-11 .13E-11 .15E-11 .18E-11 .20E-11 .21E-11
 2365   70   19 .50E-12 .57E-12 .66E-12 .76E-12 .86E-12 .96E-12 .11E-11 .13E-11 .15E-11 .16E-11
 2366   70   20 .78E-12 .79E-12 .81E-12 .84E-12 .87E-12 .91E-12 .99E-12 .11E-11 .12E-11 .13E-11
 2367   70   21 .10E-11 .11E-11 .11E-11 .11E-11 .12E-11 .12E-11 .13E-11 .14E-11 .16E-11 .17E-11
 2368   70   22 .13E-11 .13E-11 .13E-11 .14E-11 .15E-11 .15E-11 .16E-11 .18E-11 .20E-11 .21E-11
 2369   70   23 .90E-12 .10E-11 .11E-11 .13E-11 .15E-11 .16E-11 .19E-11 .21E-11 .23E-11 .25E-11
 2370   70   24 .75E-12 .84E-12 .96E-12 .11E-11 .12E-11 .13E-11 .16E-11 .18E-11 .19E-11 .21E-11
 2371   70   25 .60E-12 .67E-12 .77E-12 .87E-12 .97E-12 .11E-11 .12E-11 .14E-11 .16E-11 .17E-11
 2372   70   26 .63E-12 .67E-12 .70E-12 .74E-12 .78E-12 .83E-12 .91E-12 .10E-11 .11E-11 .12E-11
 2373   70   27 .79E-12 .84E-12 .88E-12 .93E-12 .98E-12 .10E-11 .11E-11 .13E-11 .14E-11 .15E-11
 2374   70   28 .95E-12 .10E-11 .11E-11 .11E-11 .12E-11 .12E-11 .14E-11 .15E-11 .16E-11 .18E-11
 2375   70   29 .50E-12 .52E-12 .63E-12 .78E-12 .96E-12 .11E-11 .15E-11 .19E-11 .22E-11 .25E-11
 2376   70   30 .43E-12 .45E-12 .54E-12 .67E-12 .82E-12 .98E-12 .13E-11 .16E-11 .19E-11 .21E-11
 2377   70   31 .36E-12 .37E-12 .45E-12 .56E-12 .68E-12 .81E-12 .11E-11 .13E-11 .16E-11 .18E-11
 2378   70   32 .14E-11 .13E-11 .13E-11 .13E-11 .13E-11 .14E-11 .14E-11 .15E-11 .16E-11 .16E-11
 2379   70   33 .17E-11 .15E-11 .15E-11 .15E-11 .16E-11 .16E-11 .17E-11 .18E-11 .19E-11 .20E-11
 2380   70   34 .19E-11 .18E-11 .18E-11 .18E-11 .18E-11 .19E-11 .20E-11 .21E-11 .22E-11 .23E-11
 2381   70   35 .83E-12 .11E-11 .14E-11 .16E-11 .19E-11 .22E-11 .26E-11 .31E-11 .35E-11 .38E-11
 2382   70   36 .73E-12 .95E-12 .12E-11 .14E-11 .17E-11 .19E-11 .23E-11 .27E-11 .31E-11 .34E-11
 2383   70   37 .62E-12 .81E-12 .10E-11 .12E-11 .14E-11 .16E-11 .20E-11 .23E-11 .26E-11 .29E-11
 2384   70   38 .13E-11 .13E-11 .13E-11 .13E-11 .13E-11 .14E-11 .14E-11 .15E-11 .16E-11 .17E-11
 2385   70   39 .15E-11 .15E-11 .15E-11 .15E-11 .15E-11 .16E-11 .17E-11 .18E-11 .19E-11 .20E-11
 2386   70   40 .17E-11 .17E-11 .17E-11 .17E-11 .17E-11 .18E-11 .19E-11 .21E-11 .22E-11 .23E-11
 2387   70   41 .75E-12 .10E-11 .12E-11 .14E-11 .16E-11 .18E-11 .21E-11 .25E-11 .29E-11 .32E-11
 2388   70   42 .67E-12 .91E-12 .11E-11 .13E-11 .14E-11 .16E-11 .19E-11 .22E-11 .26E-11 .28E-11
 2389   70   43 .58E-12 .79E-12 .96E-12 .11E-11 .13E-11 .14E-11 .17E-11 .20E-11 .22E-11 .25E-11
 2390   70   44 .14E-11 .15E-11 .15E-11 .15E-11 .16E-11 .16E-11 .17E-11 .17E-11 .18E-11 .18E-11
 2391   70   45 .16E-11 .17E-11 .17E-11 .18E-11 .18E-11 .18E-11 .19E-11 .20E-11 .20E-11 .21E-11
 2392   70   46 .18E-11 .19E-11 .19E-11 .20E-11 .20E-11 .21E-11 .21E-11 .22E-11 .23E-11 .23E-11
 2393   70   47 .80E-12 .10E-11 .13E-11 .15E-11 .16E-11 .18E-11 .20E-11 .22E-11 .24E-11 .25E-11
 2394   70   48 .39E-11 .40E-11 .42E-11 .42E-11 .43E-11 .44E-11 .45E-11 .46E-11 .48E-11 .49E-11
 2395   70   49 .16E-11 .21E-11 .25E-11 .29E-11 .33E-11 .36E-11 .41E-11 .45E-11 .48E-11 .50E-11
 2396   70   50 .78E-11 .81E-11 .83E-11 .85E-11 .86E-11 .87E-11 .90E-11 .93E-11 .95E-11 .98E-11
 2397   70   51 .24E-11 .31E-11 .38E-11 .44E-11 .49E-11 .54E-11 .61E-11 .67E-11 .72E-11 .75E-11
 2398   70   52 .12E-10 .12E-10 .12E-10 .13E-10 .13E-10 .13E-10 .13E-10 .14E-10 .14E-10 .15E-10
 2399   70   53 .49E-11 .54E-11 .57E-11 .59E-11 .62E-11 .64E-11 .67E-11 .71E-11 .73E-11 .75E-11
 2400   70   54 .69E-11 .73E-11 .75E-11 .77E-11 .79E-11 .80E-11 .82E-11 .85E-11 .88E-11 .90E-11
 2401   70   55 .74E-11 .81E-11 .85E-11 .89E-11 .93E-11 .96E-11 .10E-10 .11E-10 .11E-10 .11E-10
 2402   70   56 .10E-10 .11E-10 .11E-10 .12E-10 .12E-10 .12E-10 .12E-10 .13E-10 .13E-10 .14E-10
 2403   70   57 .98E-11 .11E-10 .11E-10 .12E-10 .12E-10 .13E-10 .13E-10 .14E-10 .15E-10 .15E-10
 2404   70   58 .14E-10 .15E-10 .15E-10 .15E-10 .16E-10 .16E-10 .16E-10 .17E-10 .18E-10 .18E-10
 2405   70   59 .48E-12 .78E-12 .11E-11 .13E-11 .16E-11 .19E-11 .24E-11 .30E-11 .35E-11 .40E-11
 2406   70   60 .43E-12 .70E-12 .95E-12 .12E-11 .15E-11 .17E-11 .22E-11 .27E-11 .32E-11 .36E-11
 2407   70   61 .38E-12 .62E-12 .84E-12 .11E-11 .13E-11 .15E-11 .19E-11 .24E-11 .28E-11 .32E-11
 2408   70   62 .33E-12 .60E-12 .76E-12 .87E-12 .95E-12 .10E-11 .11E-11 .12E-11 .13E-11 .13E-11
 2409   70   63 .38E-12 .67E-12 .86E-12 .98E-12 .11E-11 .11E-11 .12E-11 .13E-11 .14E-11 .15E-11
 2410   70   64 .42E-12 .75E-12 .95E-12 .11E-11 .12E-11 .13E-11 .14E-11 .15E-11 .16E-11 .17E-11
 2411   70   65 .31E-11 .36E-11 .40E-11 .44E-11 .47E-11 .50E-11 .56E-11 .60E-11 .64E-11 .67E-11
 2412   70   66 .18E-09 .28E-09 .31E-09 .32E-09 .32E-09 .33E-09 .32E-09 .32E-09 .32E-09 .32E-09
 2413   70   67 .42E-11 .49E-11 .53E-11 .58E-11 .63E-11 .67E-11 .74E-11 .81E-11 .85E-11 .89E-11
 2414   70   68 .24E-09 .38E-09 .42E-09 .43E-09 .43E-09 .43E-09 .43E-09 .43E-09 .43E-09 .43E-09
 2415   70   69 .52E-11 .61E-11 .67E-11 .73E-11 .79E-11 .84E-11 .93E-11 .10E-10 .11E-10 .11E-10
 2416   71    1 .41E-12 .45E-12 .48E-12 .51E-12 .54E-12 .56E-12 .60E-12 .65E-12 .69E-12 .73E-12
 2417   71    2 .20E-12 .23E-12 .24E-12 .26E-12 .27E-12 .28E-12 .30E-12 .32E-12 .35E-12 .36E-12
 2418   71    3 .26E-12 .32E-12 .38E-12 .44E-12 .49E-12 .53E-12 .61E-12 .68E-12 .74E-12 .78E-12
 2419   71    4 .51E-12 .65E-12 .77E-12 .88E-12 .98E-12 .11E-11 .12E-11 .14E-11 .15E-11 .16E-11
 2420   71    5 .83E-12 .95E-12 .11E-11 .12E-11 .12E-11 .13E-11 .14E-11 .16E-11 .17E-11 .18E-11
 2421   71    6 .55E-12 .64E-12 .71E-12 .77E-12 .82E-12 .87E-12 .95E-12 .10E-11 .11E-11 .12E-11
 2422   71    7 .28E-12 .32E-12 .35E-12 .38E-12 .41E-12 .44E-12 .48E-12 .52E-12 .56E-12 .59E-12
 2423   71    8 .87E-13 .92E-13 .94E-13 .96E-13 .98E-13 .10E-12 .11E-12 .11E-12 .11E-12 .12E-12
 2424   71    9 .17E-12 .18E-12 .19E-12 .19E-12 .20E-12 .20E-12 .21E-12 .22E-12 .23E-12 .24E-12
 2425   71   10 .26E-12 .28E-12 .28E-12 .29E-12 .29E-12 .30E-12 .32E-12 .33E-12 .34E-12 .35E-12
 2426   71   11 .63E-12 .66E-12 .66E-12 .66E-12 .67E-12 .68E-12 .70E-12 .72E-12 .74E-12 .77E-12
 2427   71   12 .48E-12 .49E-12 .50E-12 .50E-12 .50E-12 .51E-12 .52E-12 .54E-12 .56E-12 .58E-12
 2428   71   13 .32E-12 .33E-12 .33E-12 .33E-12 .34E-12 .34E-12 .35E-12 .36E-12 .37E-12 .38E-12
 2429   71   14 .51E-12 .61E-12 .72E-12 .82E-12 .93E-12 .10E-11 .12E-11 .14E-11 .15E-11 .16E-11
 2430   71   15 .76E-12 .92E-12 .11E-11 .12E-11 .14E-11 .15E-11 .18E-11 .21E-11 .23E-11 .24E-11
 2431   71   16 .10E-11 .12E-11 .14E-11 .16E-11 .19E-11 .20E-11 .24E-11 .27E-11 .30E-11 .32E-11
 2432   71   17 .17E-11 .18E-11 .19E-11 .20E-11 .21E-11 .22E-11 .23E-11 .25E-11 .27E-11 .29E-11
 2433   71   18 .14E-11 .15E-11 .15E-11 .16E-11 .17E-11 .17E-11 .19E-11 .20E-11 .22E-11 .23E-11
 2434   71   19 .10E-11 .11E-11 .11E-11 .12E-11 .12E-11 .13E-11 .14E-11 .15E-11 .16E-11 .17E-11
 2435   71   20 .21E-12 .24E-12 .26E-12 .29E-12 .31E-12 .33E-12 .36E-12 .40E-12 .43E-12 .45E-12
 2436   71   21 .28E-12 .32E-12 .35E-12 .38E-12 .41E-12 .44E-12 .48E-12 .53E-12 .57E-12 .60E-12
 2437   71   22 .35E-12 .40E-12 .44E-12 .48E-12 .51E-12 .55E-12 .60E-12 .67E-12 .71E-12 .75E-12
 2438   71   23 .13E-11 .14E-11 .15E-11 .15E-11 .16E-11 .16E-11 .18E-11 .19E-11 .21E-11 .22E-11
 2439   71   24 .11E-11 .12E-11 .12E-11 .13E-11 .13E-11 .14E-11 .15E-11 .16E-11 .17E-11 .19E-11
 2440   71   25 .87E-12 .94E-12 .97E-12 .10E-11 .11E-11 .11E-11 .12E-11 .13E-11 .14E-11 .15E-11
 2441   71   26 .49E-12 .56E-12 .64E-12 .73E-12 .83E-12 .94E-12 .12E-11 .14E-11 .16E-11 .18E-11
 2442   71   27 .62E-12 .70E-12 .80E-12 .91E-12 .10E-11 .12E-11 .14E-11 .17E-11 .20E-11 .22E-11
 2443   71   28 .74E-12 .84E-12 .95E-12 .11E-11 .13E-11 .14E-11 .17E-11 .21E-11 .24E-11 .26E-11
 2444   71   29 .93E-12 .97E-12 .99E-12 .10E-11 .11E-11 .11E-11 .12E-11 .13E-11 .14E-11 .15E-11
 2445   71   30 .80E-12 .83E-12 .85E-12 .87E-12 .90E-12 .94E-12 .10E-11 .11E-11 .12E-11 .13E-11
 2446   71   31 .67E-12 .69E-12 .71E-12 .73E-12 .75E-12 .78E-12 .85E-12 .94E-12 .10E-11 .11E-11
 2447   71   32 .67E-12 .77E-12 .88E-12 .10E-11 .11E-11 .13E-11 .15E-11 .17E-11 .19E-11 .21E-11
 2448   71   33 .80E-12 .92E-12 .11E-11 .12E-11 .14E-11 .15E-11 .18E-11 .21E-11 .23E-11 .25E-11
 2449   71   34 .93E-12 .11E-11 .12E-11 .14E-11 .16E-11 .18E-11 .21E-11 .24E-11 .27E-11 .29E-11
 2450   71   35 .20E-11 .19E-11 .19E-11 .19E-11 .19E-11 .20E-11 .20E-11 .21E-11 .22E-11 .23E-11
 2451   71   36 .18E-11 .17E-11 .16E-11 .17E-11 .17E-11 .17E-11 .18E-11 .18E-11 .19E-11 .20E-11
 2452   71   37 .15E-11 .14E-11 .14E-11 .14E-11 .14E-11 .15E-11 .15E-11 .16E-11 .17E-11 .17E-11
 2453   71   38 .33E-12 .34E-12 .39E-12 .47E-12 .57E-12 .67E-12 .89E-12 .12E-11 .14E-11 .16E-11
 2454   71   39 .39E-12 .39E-12 .45E-12 .55E-12 .66E-12 .79E-12 .10E-11 .14E-11 .16E-11 .19E-11
 2455   71   40 .45E-12 .45E-12 .52E-12 .63E-12 .76E-12 .90E-12 .12E-11 .15E-11 .19E-11 .22E-11
 2456   71   41 .20E-11 .20E-11 .19E-11 .19E-11 .19E-11 .20E-11 .20E-11 .21E-11 .22E-11 .23E-11
 2457   71   42 .18E-11 .18E-11 .17E-11 .17E-11 .17E-11 .17E-11 .18E-11 .19E-11 .20E-11 .20E-11
 2458   71   43 .16E-11 .15E-11 .15E-11 .15E-11 .15E-11 .15E-11 .16E-11 .16E-11 .17E-11 .18E-11
 2459   71   44 .54E-12 .72E-12 .90E-12 .11E-11 .13E-11 .15E-11 .19E-11 .23E-11 .26E-11 .29E-11
 2460   71   45 .62E-12 .82E-12 .10E-11 .13E-11 .15E-11 .17E-11 .21E-11 .26E-11 .30E-11 .33E-11
 2461   71   46 .69E-12 .92E-12 .12E-11 .14E-11 .17E-11 .19E-11 .24E-11 .29E-11 .33E-11 .37E-11
 2462   71   47 .97E-12 .11E-11 .12E-11 .13E-11 .14E-11 .15E-11 .16E-11 .17E-11 .18E-11 .20E-11
 2463   71   48 .68E-12 .81E-12 .94E-12 .11E-11 .12E-11 .13E-11 .14E-11 .16E-11 .17E-11 .18E-11
 2464   71   49 .19E-11 .22E-11 .24E-11 .26E-11 .28E-11 .29E-11 .32E-11 .35E-11 .37E-11 .39E-11
 2465   71   50 .14E-11 .16E-11 .19E-11 .21E-11 .24E-11 .26E-11 .29E-11 .32E-11 .34E-11 .35E-11
 2466   71   51 .29E-11 .33E-11 .36E-11 .39E-11 .42E-11 .44E-11 .48E-11 .52E-11 .55E-11 .59E-11
 2467   71   52 .20E-11 .24E-11 .28E-11 .32E-11 .35E-11 .38E-11 .43E-11 .48E-11 .51E-11 .53E-11
 2468   71   53 .68E-11 .71E-11 .72E-11 .72E-11 .73E-11 .73E-11 .74E-11 .76E-11 .77E-11 .79E-11
 2469   71   54 .12E-11 .15E-11 .18E-11 .20E-11 .22E-11 .24E-11 .28E-11 .31E-11 .33E-11 .34E-11
 2470   71   55 .10E-10 .11E-10 .11E-10 .11E-10 .11E-10 .11E-10 .11E-10 .11E-10 .12E-10 .12E-10
 2471   71   56 .18E-11 .22E-11 .26E-11 .30E-11 .34E-11 .37E-11 .42E-11 .46E-11 .49E-11 .51E-11
 2472   71   57 .14E-10 .14E-10 .14E-10 .14E-10 .15E-10 .15E-10 .15E-10 .15E-10 .15E-10 .16E-10
 2473   71   58 .24E-11 .30E-11 .35E-11 .40E-11 .45E-11 .49E-11 .55E-11 .61E-11 .65E-11 .68E-11
 2474   71   59 .18E-11 .21E-11 .21E-11 .21E-11 .21E-11 .22E-11 .22E-11 .22E-11 .23E-11 .23E-11
 2475   71   60 .16E-11 .18E-11 .19E-11 .19E-11 .19E-11 .19E-11 .20E-11 .20E-11 .20E-11 .21E-11
